GEOMETRY 0,53 1024x640
1789655797254 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655797317 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789655797398 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655797398 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655797479 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655797481 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655797561 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655799265 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655799427 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789655799510 RELEASED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789655799511 CLICKED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789655799679 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655799683 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655799771 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655799845 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655801554 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655801717 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789655801884 RELEASED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789655801884 CLICKED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789655801972 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655801977 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655802053 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655802054 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655802132 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655803832 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655804084 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655804086 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655804169 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655804171 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655804249 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655805035 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655805120 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789655805456 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655805539 EXITED btn=1 mex=0x400 src=start.StartPanel xy=1053,452 scr=1053,504
1789655805539 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1053,452 scr=1053,504
1789655805623 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1280,527 scr=1280,579
1789655805708 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1506,603 scr=1506,655
1789655805794 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1733,677 scr=1733,730
1789655805876 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1960,753 scr=1960,806
