GEOMETRY 0,53 1024x640
SAMEAPP 1104,153 300x300
1789613230998 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613233960 EXITED btn=0 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613233963 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613233964 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613233965 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613234022 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789613234102 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613234103 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613234180 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613234181 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613234261 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613234261 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613234263 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613234265 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613235061 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613235135 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613235219 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613235305 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613235305 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613235388 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613235469 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613235474 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613235557 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613235640 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613235725 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
