GEOMETRY 0,53 1024x640
1789616594820 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789616594954 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789616594980 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789616594991 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789616595052 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616595056 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616595136 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789616596341 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789616597004 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789616597088 RELEASED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789616597088 CLICKED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789616597257 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616597338 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616597340 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616597420 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789616598624 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789616599293 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789616599461 RELEASED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789616599461 CLICKED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789616599545 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616599547 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616599629 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616599630 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616599710 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789616600910 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789616601657 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616601661 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616601740 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616601742 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616601820 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789616602604 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789616602692 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789616603027 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=654,296 scr=654,348
1789616603111 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=709,292 scr=709,344
1789616603196 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=763,288 scr=763,340
1789616603278 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=818,284 scr=818,336
