GEOMETRY 0,53 1024x640
SAMEAPP 1104,153 300x300
1789613263477 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613266001 EXITED btn=0 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613266004 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613266004 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613266006 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613266063 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789613266146 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613266146 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613266225 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613266227 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613266307 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613266307 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613266309 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613266311 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613267103 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613267178 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613267262 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613267347 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613267347 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613267433 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613267510 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613267512 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613267596 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613267678 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613267762 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613267850 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613267933 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613268019 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613268102 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613268185 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789613268269 RELEASED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789613268269 CLICKED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789613268351 RELEASED btn=1 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613268435 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613268437 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613268520 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613268522 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613268601 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613268604 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613268605 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613268606 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613269396 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613269471 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613269552 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613269636 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613269636 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613269727 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613269802 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613269805 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613269886 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613269967 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613270055 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613270136 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613270218 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613270300 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613270387 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613270473 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789613270548 RELEASED btn=1 mex=0x1000 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613270633 RELEASED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789613270633 CLICKED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789613270715 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613270717 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613270802 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613270804 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613270882 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613270885 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613270885 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613270887 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613271676 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613271753 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613271835 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613271919 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613271919 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613272008 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613272083 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613272085 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613272169 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613272253 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613272340 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613272443 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613272510 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613272592 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613272676 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613272764 RELEASED btn=1 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613272844 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613272846 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
