GEOMETRY 0,53 1024x640
SAMEAPP 1104,153 300x300
1789613431770 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613431841 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789613431924 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613431924 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613432002 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613432004 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613432085 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613432085 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613432087 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613432089 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613432884 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613432961 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613433046 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613433122 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613433122 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613433207 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613433288 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613433292 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613433378 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613433465 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
